ROUTE_CODE,BUS_DUTY_NO,DIRECTION,SCHEDULE_TIME,SCHEDULE_TYPE
3,2,backward,2237,work day
3,3,backward,420,work day
3,3,forward,515,work day
3,3,backward,610,work day
3,3,forward,703,work day
3,3,backward,800,work day
3,3,forward,855,work day
3,3,backward,950,work day
3,3,forward,1045,work day
3,3,backward,1140,work day
3,3,forward,1234,work day
3,3,backward,1336,work day
3,3,forward,1432,work day
3,3,backward,1528,work day
3,3,forward,1626,work day
3,3,backward,1724,work day
3,3,forward,1820,work day
3,3,backward,1912,work day
3,3,forward,2015,work day
3,3,backward,2109,work day
3,3,forward,2200,work day
3,3,backward,2253,work day
3,4,forward,712,work day
3,4,backward,810,work day
3,4,forward,905,work day
3,4,backward,1000,work day
3,4,forward,1055,work day
3,4,backward,1150,work day
3,4,forward,1243,work day
3,4,backward,1344,work day
3,4,forward,1440,work day
3,4,backward,1536,work day
3,4,forward,1634,work day
3,4,backward,1733,work day
3,4,forward,1830,work day
3,4,backward,1924,work day
3,5,backward,620,work day
3,5,forward,720,work day
3,5,backward,820,work day
3,5,forward,915,work day
3,5,backward,1010,work day
3,5,forward,1105,work day
3,5,backward,1200,work day
3,5,forward,1252,work day
3,5,backward,1352,work day
3,5,forward,1448,work day
3,5,backward,1545,work day
3,5,forward,1643,work day
3,5,backward,1742,work day
3,5,forward,1840,work day
3,5,backward,1936,work day
3,5,forward,2030,work day
3,5,backward,2123,work day
3,5,forward,2215,work day
3,5,backward,2310,work day
3,6,backward,440,work day
3,6,forward,535,work day
3,6,backward,630,work day
3,6,forward,729,work day
3,6,backward,830,work day
3,6,forward,925,work day
3,6,backward,1020,work day
3,6,forward,1115,work day
3,6,backward,1210,work day
3,6,forward,1301,work day
3,6,backward,1400,work day
3,6,forward,1456,work day
3,6,backward,1554,work day
3,6,forward,1651,work day
3,7,backward,650,work day
3,7,forward,746,work day
3,7,backward,840,work day
3,7,forward,935,work day
3,7,backward,1030,work day
3,7,forward,1125,work day
3,7,backward,1220,work day
3,7,forward,1319,work day
3,7,backward,1416,work day
3,7,forward,1512,work day
3,7,backward,1612,work day
3,7,forward,1708,work day
3,7,backward,1800,work day
3,7,forward,1851,work day
3,7,backward,1948,work day
3,7,forward,2045,work day
3,7,backward,2137,work day
3,7,forward,2235,work day
3,7,backward,2330,work day
3,8,backward,500,work day
3,8,forward,555,work day
3,8,backward,659,work day
3,8,forward,755,work day
3,8,backward,850,work day
3,8,forward,945,work day
3,8,backward,1040,work day
3,8,forward,1135,work day
3,8,backward,1230,work day
3,8,forward,1328,work day
3,8,backward,1424,work day
3,8,forward,1520,work day
3,8,backward,1621,work day
3,8,forward,1717,work day
3,8,backward,1809,work day
3,8,forward,1903,work day
3,8,backward,2000,work day
3,9,backward,520,work day
3,9,forward,610,work day
3,9,backward,708,work day
3,9,forward,805,work day
3,9,backward,900,work day
3,9,forward,955,work day
3,9,backward,1050,work day
3,9,forward,1145,work day
3,9,backward,1240,work day
3,9,forward,1336,work day
3,9,backward,1432,work day
3,9,forward,1528,work day
3,9,backward,1630,work day
3,9,forward,1725,work day
3,9,backward,1818,work day
3,9,forward,1916,work day
3,9,backward,2013,work day
3,9,forward,2100,work day
3,9,backward,2152,work day
3,10,forward,620,work day
3,10,backward,716,work day
3,10,forward,815,work day
3,10,backward,910,work day
3,10,forward,1005,work day
3,10,backward,1100,work day
3,10,forward,1155,work day
3,10,backward,1250,work day
3,10,forward,1344,work day
3,10,backward,1440,work day
3,10,forward,1536,work day
3,10,backward,1639,work day
3,10,forward,1734,work day
3,10,backward,1828,work day
3,11,backward,535,work day
3,11,forward,638,work day
3,11,backward,733,work day
3,11,forward,825,work day
3,11,backward,920,work day
3,11,forward,1015,work day
3,11,backward,1110,work day
3,11,forward,1205,work day
3,11,backward,1300,work day
3,11,forward,1400,work day
3,11,backward,1456,work day
3,11,forward,1552,work day
3,11,backward,1648,work day
3,11,forward,1743,work day
3,11,backward,1838,work day
3,11,forward,1930,work day
3,11,backward,2027,work day
3,11,forward,2115,work day
3,11,backward,2207,work day
3,11,forward,2255,work day
3,11,backward,2355,work day
3,12,backward,640,work day
3,12,forward,737,work day
3,12,forward,1310,work day
3,12,backward,1408,work day
3,12,forward,1504,work day
3,12,backward,1603,work day
3,12,forward,1700,work day
3,12,backward,1751,work day
3,13,forward,629,work day
3,13,backward,725,work day
3,13,forward,1352,work day
3,13,backward,1448,work day
3,13,forward,1544,work day
3,14,backward,1328,work day
3,14,forward,1424,work day
3,14,backward,1520,work day
3,14,forward,1617,work day
3,14,backward,1715,work day
3,14,forward,1810,work day
5,1,backward,505,work day
5,1,forward,547,work day
5,1,backward,630,work day
5,1,forward,710,work day
5,1,backward,750,work day
5,1,forward,833,work day
5,1,backward,913,work day
5,1,forward,953,work day
5,1,backward,1033,work day
5,1,forward,1113,work day
5,1,backward,1153,work day
5,1,forward,1233,work day
5,1,backward,1316,work day
5,1,forward,1359,work day
5,1,backward,1442,work day
5,1,forward,1525,work day
5,1,backward,1608,work day
5,1,forward,1651,work day
5,1,backward,1734,work day
5,1,forward,1817,work day
5,1,backward,1903,work day
5,1,forward,1943,work day
5,1,backward,2022,work day
5,1,forward,2102,work day
5,1,backward,2144,work day
5,1,forward,2232,work day
5,1,backward,2310,work day
5,2,backward,520,work day
5,2,forward,559,work day
5,2,backward,640,work day
5,2,forward,720,work day
5,2,backward,800,work day
5,2,forward,844,work day
5,2,backward,924,work day
5,2,forward,1004,work day
5,2,backward,1044,work day
5,2,forward,1124,work day
5,2,backward,1204,work day
5,2,forward,1244,work day
5,2,backward,1327,work day
5,2,forward,1410,work day
5,2,backward,1453,work day
5,2,forward,1536,work day
5,2,backward,1619,work day
5,2,forward,1702,work day
5,2,backward,1745,work day
5,2,forward,1828,work day
5,3,backward,535,work day
5,3,forward,610,work day
5,3,backward,650,work day
5,3,forward,730,work day
5,3,backward,810,work day
5,3,forward,856,work day
5,3,backward,936,work day
5,3,forward,1016,work day
5,3,backward,1056,work day
5,3,forward,1136,work day
5,3,backward,1216,work day
5,3,forward,1255,work day
5,3,backward,1338,work day
5,3,forward,1421,work day
5,3,backward,1504,work day
5,3,forward,1547,work day
5,3,backward,1630,work day
5,3,forward,1713,work day
5,3,backward,1756,work day
5,3,forward,1839,work day
5,3,backward,1916,work day
5,3,forward,1956,work day
5,3,backward,2036,work day
5,3,forward,2116,work day
5,3,backward,2158,work day
5,4,forward,520,work day
5,4,backward,603,work day
5,4,forward,640,work day
5,4,backward,720,work day
5,4,forward,800,work day
5,4,backward,840,work day
5,4,forward,919,work day
5,4,backward,959,work day
5,4,forward,1039,work day
5,4,backward,1119,work day
5,4,forward,1159,work day
5,4,backward,1239,work day
5,4,forward,1327,work day
5,4,backward,1410,work day
5,4,forward,1453,work day
5,4,backward,1536,work day
5,4,forward,1619,work day
5,4,backward,1702,work day
5,4,forward,1745,work day
5,4,backward,1828,work day
5,5,forward,650,work day
5,5,backward,730,work day
5,5,forward,810,work day
5,5,backward,850,work day
5,5,forward,930,work day
5,5,backward,1010,work day
5,5,forward,1050,work day
5,5,backward,1130,work day
5,5,forward,1210,work day
5,5,backward,1252,work day
5,5,forward,1338,work day
5,5,backward,1421,work day
5,5,forward,1504,work day
5,5,backward,1547,work day
5,5,forward,1630,work day
5,5,backward,1713,work day
5,5,forward,1756,work day
5,5,backward,1839,work day
5,5,forward,1917,work day
5,5,backward,1956,work day
5,5,forward,2036,work day
5,5,backward,2116,work day
5,5,forward,2158,work day
5,5,backward,2233,work day
5,5,forward,2310,work day
5,6,backward,549,work day
5,6,forward,630,work day
5,6,backward,710,work day
5,6,forward,750,work day
5,6,backward,830,work day
5,6,forward,907,work day
5,6,backward,947,work day
5,6,forward,1027,work day
5,6,backward,1107,work day
5,6,forward,1147,work day
5,6,backward,1227,work day
5,6,forward,1316,work day
5,6,backward,1359,work day
5,6,forward,1442,work day
5,6,backward,1525,work day
5,6,forward,1608,work day
5,6,backward,1651,work day
5,6,forward,1734,work day
5,6,backward,1817,work day
5,6,forward,1904,work day
5,6,backward,1942,work day
5,6,forward,2022,work day
5,6,backward,2102,work day
5,6,forward,2144,work day
5,7,forward,535,work day
5,7,backward,617,work day
5,7,forward,700,work day
5,7,backward,740,work day
5,7,forward,821,work day
5,7,backward,901,work day
5,7,forward,941,work day
5,7,backward,1021,work day
5,7,forward,1101,work day
5,7,backward,1141,work day
5,7,forward,1221,work day
5,7,backward,1304,work day
5,7,forward,1348,work day
5,7,backward,1431,work day
5,7,forward,1514,work day
5,7,backward,1557,work day
5,7,forward,1640,work day
5,7,backward,1723,work day
5,7,forward,1806,work day
5,7,backward,1851,work day
5,7,forward,1930,work day
5,7,backward,2009,work day
5,7,forward,2049,work day
5,7,backward,2130,work day
5,7,forward,2214,work day
5,7,backward,2251,work day
5,7,forward,2330,work day
5,8,forward,620,work day
5,8,backward,700,work day
5,8,forward,740,work day
5,8,backward,820,work day
5,8,forward,1305,work day
5,8,backward,1348,work day
5,8,forward,1431,work day
5,8,backward,1514,work day
5,8,forward,1557,work day
5,8,backward,1640,work day
5,8,forward,1723,work day
5,8,backward,1806,work day
5,8,forward,1851,work day
5,8,backward,1929,work day
5,8,forward,2009,work day
5,8,backward,2049,work day
5,8,forward,2130,work day
5,8,backward,2215,work day
5,8,forward,2251,work day
5,8,backward,2330,work day
6,1,forward,520,work day
6,1,backward,555,work day
6,1,forward,625,work day
6,1,backward,655,work day
6,1,forward,727,work day
6,1,backward,755,work day
6,1,forward,828,work day
6,1,backward,856,work day
6,1,forward,927,work day
6,1,backward,955,work day
6,1,forward,1027,work day
6,1,backward,1055,work day
6,1,forward,1127,work day
6,1,backward,1155,work day
6,1,forward,1226,work day
6,1,backward,1252,work day
6,1,forward,1329,work day
6,1,backward,1359,work day
6,1,forward,1431,work day
6,1,backward,1501,work day
6,1,forward,1533,work day
6,1,backward,1603,work day
6,1,forward,1635,work day
6,1,backward,1705,work day
6,1,forward,1737,work day
6,1,backward,1807,work day
6,1,forward,1841,work day
6,1,backward,1910,work day
6,1,forward,1935,work day
6,1,backward,2003,work day
6,1,forward,2035,work day
6,1,backward,2103,work day
6,1,forward,2135,work day
6,1,backward,2203,work day
6,1,forward,2235,work day
6,1,backward,2305,work day
6,2,backward,615,work day
6,2,forward,647,work day
6,2,backward,715,work day
6,2,forward,747,work day
6,2,backward,815,work day
6,2,forward,857,work day
6,2,backward,925,work day
6,2,forward,957,work day
6,2,backward,1025,work day
6,2,forward,1057,work day
6,2,backward,1125,work day
6,2,forward,1157,work day
6,2,backward,1225,work day
6,2,forward,1308,work day
6,2,backward,1338,work day
6,2,forward,1410,work day
6,2,backward,1440,work day
6,2,forward,1512,work day
6,2,backward,1542,work day
6,2,forward,1614,work day
6,2,backward,1644,work day
6,2,forward,1716,work day
6,2,backward,1746,work day
6,2,forward,1819,work day
6,2,backward,1849,work day
6,3,backward,530,work day
6,3,forward,600,work day
6,3,backward,635,work day
6,3,forward,707,work day
6,3,backward,735,work day
6,3,forward,807,work day
6,3,backward,835,work day
6,3,forward,1247,work day
6,3,backward,1316,work day
6,3,forward,1350,work day
6,3,backward,1420,work day
6,3,forward,1452,work day
6,3,backward,1522,work day
6,3,forward,1554,work day
6,3,backward,1624,work day
6,3,forward,1656,work day
6,3,backward,1726,work day
6,3,forward,1758,work day
6,3,backward,1828,work day
6,3,forward,1905,work day
6,3,backward,1933,work day
6,3,forward,2005,work day
6,3,backward,2033,work day
6,3,forward,2105,work day
6,3,backward,2133,work day
6,3,forward,2205,work day
6,3,backward,2233,work day
6,3,forward,2305,work day
7,1,forward,400,work day
7,1,backward,500,work day
7,1,forward,614,work day
7,1,backward,723,work day
7,1,forward,833,work day
7,1,backward,940,work day
7,1,forward,1048,work day
7,1,backward,1156,work day
7,1,forward,1309,work day
7,1,backward,1420,work day
7,1,forward,1533,work day
7,1,backward,1645,work day
7,2,forward,415,work day
7,2,backward,515,work day
7,2,forward,622,work day
7,2,backward,730,work day
7,2,forward,843,work day
7,2,backward,950,work day
7,2,forward,1057,work day
7,2,backward,1206,work day
7,2,forward,1316,work day
7,2,backward,1427,work day
7,2,forward,1540,work day
7,2,backward,1652,work day
7,2,forward,1807,work day
7,2,backward,1916,work day
7,2,forward,2025,work day
7,2,backward,2129,work day
7,2,forward,2233,work day
7,2,backward,2335,work day
7,3,forward,636,work day
7,3,backward,743,work day
7,3,forward,852,work day
7,3,backward,959,work day
7,3,forward,1107,work day
7,3,backward,1216,work day
7,3,forward,1330,work day
7,3,backward,1442,work day
7,3,forward,1555,work day
7,3,backward,1707,work day
7,3,forward,1828,work day
7,3,backward,1936,work day
7,3,forward,2048,work day
7,3,backward,2153,work day
7,3,forward,2251,work day
7,4,forward,430,work day
7,4,backward,537,work day
7,4,forward,643,work day
7,4,backward,750,work day
7,4,forward,902,work day
7,4,backward,1009,work day
7,4,forward,1117,work day
7,4,backward,1225,work day
7,4,forward,1337,work day
7,4,backward,1449,work day
7,4,forward,1602,work day
7,4,backward,1714,work day
7,5,forward,443,work day
7,5,backward,548,work day
7,5,forward,657,work day
7,5,backward,805,work day
7,5,forward,912,work day
7,5,backward,1019,work day
7,5,forward,1126,work day
7,5,backward,1235,work day
7,5,forward,1351,work day
7,5,backward,1503,work day
7,5,forward,1616,work day
7,5,backward,1729,work day
7,6,forward,456,work day
7,6,backward,558,work day
7,6,forward,703,work day
7,6,backward,814,work day
7,6,forward,921,work day
7,6,backward,1028,work day
7,6,forward,1136,work day
7,6,backward,1244,work day
7,6,forward,1359,work day
7,6,backward,1511,work day
7,6,forward,1625,work day
7,6,backward,1738,work day
7,6,forward,1849,work day
7,6,backward,1958,work day
7,7,forward,710,work day
7,7,backward,823,work day
7,7,forward,931,work day
7,7,backward,1038,work day
7,7,forward,1146,work day
7,7,backward,1252,work day
7,7,forward,1406,work day
7,7,backward,1518,work day
7,7,forward,1635,work day
7,7,backward,1747,work day
7,7,forward,1859,work day
7,7,backward,2009,work day
7,7,forward,2112,work day
7,7,backward,2218,work day
7,8,backward,400,work day
7,8,forward,507,work day
7,8,backward,615,work day
7,8,forward,724,work day
7,8,backward,832,work day
7,8,forward,940,work day
7,8,backward,1048,work day
7,8,forward,1156,work day
7,8,backward,1308,work day
7,8,forward,1420,work day
7,8,backward,1532,work day
7,8,forward,1645,work day
7,8,backward,1756,work day
7,8,forward,1910,work day
7,8,backward,2020,work day
7,8,forward,2124,work day
7,8,backward,2231,work day
7,8,forward,2330,work day
7,9,backward,415,work day
7,9,forward,518,work day
7,9,backward,622,work day
7,9,forward,730,work day
7,9,backward,842,work day
7,9,forward,950,work day
7,9,backward,1057,work day
7,9,forward,1206,work day
7,9,backward,1316,work day
7,9,forward,1428,work day
7,9,backward,1540,work day
7,9,forward,1655,work day
7,9,backward,1806,work day
7,9,forward,1920,work day
7,9,backward,2031,work day
7,9,forward,2136,work day
7,9,backward,2245,work day
7,10,forward,528,work day
7,10,backward,636,work day
7,10,forward,744,work day
7,10,backward,852,work day
7,10,forward,1000,work day
7,10,backward,1107,work day
7,10,forward,1216,work day
7,10,backward,1330,work day
7,10,forward,1442,work day
7,10,backward,1554,work day
7,10,forward,1705,work day
7,10,backward,1816,work day
7,10,forward,1931,work day
7,10,backward,2042,work day
7,10,forward,2148,work day
7,11,forward,538,work day
7,11,backward,643,work day
7,11,forward,751,work day
7,11,backward,901,work day
7,11,forward,1009,work day
7,11,backward,1117,work day
7,11,forward,1226,work day
7,11,backward,1337,work day
7,11,forward,1449,work day
7,11,backward,1601,work day
7,11,forward,1715,work day
7,11,backward,1826,work day
7,11,forward,1941,work day
7,11,backward,2053,work day
7,11,forward,2200,work day
7,11,backward,2300,work day
7,12,backward,430,work day
7,12,forward,547,work day
7,12,backward,656,work day
7,12,forward,806,work day
7,12,backward,911,work day
7,12,forward,1019,work day
7,12,backward,1127,work day
7,12,forward,1236,work day
7,12,backward,1351,work day
7,12,forward,1504,work day
7,12,backward,1616,work day
7,12,forward,1726,work day
7,12,backward,1836,work day
7,12,forward,1952,work day
7,13,forward,556,work day
7,13,backward,703,work day
7,13,forward,814,work day
7,13,backward,921,work day
7,13,forward,1029,work day
7,13,backward,1137,work day
7,13,forward,1246,work day
7,13,backward,1358,work day
7,13,forward,1511,work day
7,13,backward,1623,work day
7,13,forward,1736,work day
7,13,backward,1846,work day
7,14,backward,710,work day
7,14,forward,823,work day
7,14,backward,930,work day
7,14,forward,1038,work day
7,14,backward,1146,work day
7,14,forward,1255,work day
7,14,backward,1405,work day
7,14,forward,1518,work day
7,14,backward,1630,work day
7,14,forward,1746,work day
7,14,backward,1856,work day
7,14,forward,2003,work day
7,14,backward,2105,work day
7,14,forward,2216,work day
7,14,backward,2315,work day
7,15,backward,607,work day
7,15,forward,717,work day
7,15,backward,1300,work day
7,15,forward,1413,work day
7,15,backward,1525,work day
7,16,backward,445,work day
7,16,forward,605,work day
7,16,backward,716,work day
7,16,forward,1302,work day
7,16,backward,1413,work day
7,16,forward,1526,work day
7,16,backward,1638,work day
7,16,forward,1757,work day
7,16,backward,1906,work day
7,16,forward,2014,work day
7,16,backward,2117,work day
7,17,backward,629,work day
7,17,forward,737,work day
7,17,backward,1323,work day
7,17,forward,1435,work day
7,17,backward,1547,work day
7,18,backward,526,work day
7,18,forward,629,work day
7,18,backward,737,work day
7,18,forward,1323,work day
7,18,backward,1434,work day
7,18,forward,1547,work day
7,18,backward,1659,work day
7,18,forward,1817,work day
7,18,backward,1926,work day
7,18,forward,2036,work day
7,18,backward,2141,work day
7,19,backward,649,work day
7,19,forward,758,work day
7,19,backward,1344,work day
7,19,forward,1457,work day
7,19,backward,1609,work day
7,20,forward,650,work day
7,20,backward,757,work day
7,20,forward,1344,work day
7,20,backward,1456,work day
7,20,forward,1609,work day
7,20,backward,1721,work day
7,20,forward,1838,work day
7,20,backward,1947,work day
7,20,forward,2100,work day
7,20,backward,2205,work day
7,20,forward,2310,work day
9,1,forward,415,work day
9,1,backward,519,work day
9,1,forward,618,work day
9,1,backward,723,work day
9,1,forward,829,work day
9,1,backward,934,work day
9,1,forward,1039,work day
9,1,backward,1144,work day
9,1,forward,1248,work day
9,1,backward,1359,work day
9,1,forward,1509,work day
9,1,backward,1619,work day
9,1,forward,1729,work day
9,1,backward,1841,work day
9,1,forward,1951,work day
9,1,backward,2056,work day
9,1,forward,2202,work day
9,1,backward,2300,work day
9,2,forward,430,work day
9,2,backward,530,work day
9,2,forward,632,work day
9,2,backward,737,work day
9,2,forward,839,work day
9,2,backward,944,work day
9,2,forward,1049,work day
9,2,backward,1154,work day
9,2,forward,1304,work day
9,2,backward,1414,work day
9,2,forward,1524,work day
9,2,backward,1634,work day
9,2,forward,1744,work day
9,2,backward,1850,work day
9,2,forward,2002,work day
9,2,backward,2107,work day
9,2,forward,2215,work day
9,2,backward,2315,work day
9,3,backward,539,work day
9,3,forward,639,work day
9,3,backward,744,work day
9,3,forward,849,work day
9,3,backward,954,work day
9,3,forward,1059,work day
9,3,backward,1204,work day
9,3,forward,1311,work day
9,3,backward,1421,work day
9,3,forward,1531,work day
9,3,backward,1641,work day
9,3,forward,1751,work day
9,3,backward,1859,work day
9,4,forward,445,work day
9,4,backward,547,work day
9,4,forward,653,work day
9,4,backward,757,work day
9,4,forward,859,work day
9,4,backward,1004,work day
9,4,forward,1109,work day
9,4,backward,1214,work day
9,4,forward,1326,work day
9,4,backward,1436,work day
9,4,forward,1546,work day
9,4,backward,1656,work day
9,4,forward,1806,work day
9,4,backward,1908,work day
9,4,forward,2013,work day
9,4,backward,2118,work day
9,5,forward,459,work day
9,5,backward,554,work day
9,5,forward,700,work day
9,5,backward,805,work day
9,5,forward,909,work day
9,5,backward,1014,work day
9,5,forward,1119,work day
9,5,backward,1224,work day
9,5,forward,1333,work day
9,5,backward,1443,work day
9,5,forward,1553,work day
9,5,backward,1703,work day
9,5,forward,1813,work day
9,5,backward,1918,work day
9,5,forward,2024,work day
9,5,backward,2129,work day
9,5,forward,2230,work day
9,5,backward,2330,work day
9,6,backward,601,work day
9,6,forward,706,work day
9,6,backward,814,work day
9,6,forward,919,work day
9,6,backward,1024,work day
9,6,forward,1129,work day
9,6,backward,1234,work day
9,6,forward,1341,work day
9,6,backward,1451,work day
9,6,forward,1601,work day
9,6,backward,1711,work day
9,6,forward,1821,work day
9,6,backward,1929,work day
9,6,forward,2034,work day
9,6,backward,2140,work day
9,6,forward,2245,work day
9,7,backward,615,work day
9,7,forward,720,work day
9,7,backward,824,work day
9,7,forward,929,work day
9,7,backward,1034,work day
9,7,forward,1139,work day
9,7,backward,1243,work day
9,7,forward,1355,work day
9,7,backward,1505,work day
9,7,forward,1615,work day
9,7,backward,1725,work day
9,7,forward,1835,work day
9,7,backward,1940,work day
9,7,forward,2045,work day
9,7,backward,2151,work day
9,8,forward,513,work day
9,8,backward,622,work day
9,8,forward,727,work day
9,8,backward,834,work day
9,8,forward,939,work day
9,8,backward,1044,work day
9,8,forward,1149,work day
9,8,backward,1252,work day
9,8,forward,1403,work day
9,8,backward,1513,work day
9,8,forward,1623,work day
9,8,backward,1733,work day
9,8,forward,1843,work day
9,8,backward,1951,work day
9,8,forward,2056,work day
9,8,backward,2202,work day
9,8,forward,2300,work day
9,9,forward,527,work day
9,9,backward,635,work day
9,9,forward,740,work day
