"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"13.","1335","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Средња стручна школа Милош Црњански","Светосавска 57","23300","ssmiloscrnjanskiki@mts.rs","(0230)422056","http://miloscrnjanski.edu.rs","8114609","100709385","1977-08-31","Средње стручне школе","Државно","16","3","0","357","262","2","14","0","71","39.905100","84","53.665100"
"14.","1336","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Техничка школа","Светосавска 55","23300","skola@tsk.edu.rs","(023)422275","http://tsk.edu.rs","8114617","100507914","1977-08-31","Средње стручне школе","Државно","26","3","0","675","103","0","5","0","74","61.663300","96","85.663300"
"15.","1337","Зрењанин","Севернобанатски управни округ","Кањижа","Кањижа","Пољопривредно-технички средњошколски центар Беседеш Јожеф","Широка улица 70","24420","srednjaskola@kanjiza.rs","(024)874550","http://techniq.edu.rs","8123934","100871824","1965-07-31","Средње стручне школе","Државно","19","0","0","313","83","0","3","0","45","40.259900","61","57.612100"
"16.","1338","Зрењанин","Севернобанатски управни округ","Нови Кнежевац","Нови Кнежевац","Гимназија","Краља Петра I Карађорђевића 11","23330","gimnaznk@gmail.com","(023)083467","http://www.gimnazijank.com","8727511","101460393","2000-05-17","Гимназије","Државно","4","0","0","71","43","0","0","1","18","7.016000","23","13.236000"
"17.","1339","Зрењанин","Севернобанатски управни округ","Нови Кнежевац","Нови Кнежевац","Средња школа Доситеј Обрадовић","Краља Петра I Карађорђевића 11","23330","sskolank@gmail.com","(023)081434","http://www.ssdonk.edu.rs","8175063","101460385","1993-01-25","Средње стручне школе","Државно","13","6","0","292","117","5","5","0","49","30.501200","60","43.076700"
"18.","1340","Зрењанин","Севернобанатски управни округ","Сента","Сента","Сенћанска гимназија","Главни трг 12","24400","gimnazijasenta135@gmail.com","(024)811751","http://gimnazija-senta.rs","8204071","101099825","1990-08-26","Гимназије","Државно","16","0","0","296","196","0","0","0","44","29.038200","57","42.538200"
"19.","1341","Зрењанин","Севернобанатски управни округ","Сента","Сента","Економско-трговинска школа Сента","Главни трг 12","24400","sekretarijat.ekonomska@gmail.com","(024)811549","http://www.ekonomska-skola.rs","8204063","101099833","1960-09-01","Средње стручне школе","Државно","12","0","0","261","197","1","0","0","41","27.861400","53","39.361400"
"20.","1342","Зрењанин","Севернобанатски управни округ","Чока","Чока","Хемијско-прехрамбена средња школа","Моше Пијаде 28","23320","info@hpscoka.edu.rs","(023)071056","http://www.hpscoka.edu.rs","8204055","101417487","1978-01-27","Средње стручне школе","Државно","12","4","0","120","73","1","2","0","30","23.698900","40","35.698900"
"21.","1343","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Зрењанинска гимназија","Гимназијска 2","23101","gimnazijazr@zrenjaninskagimnazija.edu.rs","(023)5566633","http://www.zrenjaninskagimnazija.edu.rs","8069107","100903177","1846-10-06","Гимназије","Државно","40","0","0","1092","672","0","0","0","101","76.816800","123","101.316800"
"22.","1344","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Економско-трговинска школа Јован Трајковић","Скерлићева бб","23100","ekonomskazr@gmail.com","(023)561584","http://www.ekonomskazr.edu.rs","08114277","101165258","2002-10-21","Средње стручне школе","Државно","30","0","0","814","516","0","6","0","88","63.538800","103","78.658800"
"23.","1345","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Медицинска школа","Новосадска 2а","23000","medicinskaskolazr@gmail.com","(023)561413","http://www.medicinska-skola.edu.rs","8097194","101162464","2002-02-15","Средње стручне школе","Државно","22","1","0","650","523","0","1","0","107","61.039300","128","84.059300"
"24.","1346","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Пољопривредна школа","Македонска 2","23100","direktor@zrpoljoprivredna.edu.rs","(023)562189","http://www.zrpoljoprivredna.edu.rs","8069204","100654563","1956-09-28","Средње стручне школе","Државно","16","0","0","434","181","0","4","0","56","40.277300","79","64.577300"
"25.","1347","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Хемијско-прехрамбена и текстилна школа Урош Предић","Стевице Јовановића 46","23100","ssupredic@upzr.edu.rs","(023)561567","http://www.upzr.edu.rs","8113670","101162294","2002-02-15","Средње стручне школе","Државно","23","3","0","412","274","0","2","0","68","51.933200","88","72.833200"
"26.","1348","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Електротехничка и грађевинска школа Никола Тесла","Др Славка Жупанског 1","23000","direktor.teslazr@gmail.com","(023)511376","http://www.teslazr.edu.rs","8158177","100651874","1983-05-18","Средње стручне школе","Државно","30","5","0","748","90","0","3","0","104","64.717400","127","87.417400"
"27.","1349","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Техничка школа","Стевице Јовановића 50","23100","direktor@tehnickazr.edu.rs","(023)561277","http://tehnickazr.edu.rs","8069212","101161322","2010-12-23","Средње стручне школе","Државно","26","0","0","677","138","0","0","0","65","52.077600","87","75.577600"
"28.","1351","Зрењанин","Средњобанатски управни округ","Нова Црња","Српска Црња","Средња школа Ђурa Јакшић","Краља Александра 63","23220","sskola@mts.rs","(023)811041","http://www.ssdjurajaksic.edu.rs","8013535","101596197","1965-02-03","Средње стручне школе","Државно","11","0","0","251","148","0","3","0","29","18.899100","36","26.899100"
"29.","1352","Зрењанин","Средњобанатски управни округ","Нови Бечеј","Нови Бечеј","Средња школа","Маршала Тита 5","23272","srednjaskolanb@mts.rs","(023)771077","http://srednjaskolanovibecej.wordpress.com","8057907","101431092","1962-06-09","Средње стручне школе","Државно","14","3","0","288","134","0","0","0","44","26.944000","55","38.144000"
"30.","1353","Зрењанин","Средњобанатски управни округ","Сечањ","Сечањ","Средња школа Вук Караџић","Гимназијска 2","23240","vstefan@ptt.rs","(023)3841035","http://www.vukkaradzicsecanj.edu.rs","8018936","101356800","1964-02-18","Средње стручне школе","Државно","11","0","0","206","95","0","0","0","34","19.140000","40","26.940000"
"31.","1354","Зрењанин","Јужнобанатски управни округ","Алибунар","Алибунар","Економско-трговинска школа Доситеј Обрадовић","Вука Караџића 2","26310","etsalibunar@madnet.rs","(013)641036","http://ekonomskaalibunar.wordpress.com","8044597","101084903","1964-03-27","Средње стручне школе","Државно","14","0","0","282","154","5","2","0","39","25.655500","50","36.655500"
"32.","1355","Зрењанин","Јужнобанатски управни округ","Бела Црква","Бела Црква","Белоцркванска гимназија и економска школа","Јована Цвијића 11","26340","gimekobc@gmail.com","(013)853475","http://www.belocrkvanskagimnazija.edu.rs","8228965","100865914","1994-01-31","Средње стручне школе","Државно","8","0","0","199","116","0","1","0","27","13.504400","35","20.642700"
"33.","1356","Зрењанин","Јужнобанатски управни округ","Бела Црква","Бела Црква","Техничка школа Сава Мунћан","Јована Цвијића 7","26340","tssmbcrkva@mts.rs","(013)851178","http://www.tehnickaskolabc.edu.rs","8115133","100868087","1996-09-09","Средње стручне школе","Државно","12","4","0","254","87","2","9","0","43","24.930000","56","39.220000"
"34.","1357","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Гимназија Борислав Петров Браца","Михајла Пупина 1","26300","administracija@vrsackagimnazija.edu.rs","(013)836448","http://vrsackagimnazija.edu.rs","8060967","102084189","1977-10-01","Гимназије","Државно","20","0","0","501","298","0","0","0","54","38.610800","69","52.500800"
"35.","1358","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Пољопривредна школа Вршац","Архитекте Брашована 1","26300","bioskola@hemo.net","(013)805058","http://bioskola.edu.rs","8044627","100913773","1921-09-01","Средње стручне школе","Државно","17","3","0","412","205","8","8","0","58","37.192700","77","58.192700"
"36.","1359","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Хемијско-медицинска школа","Стеријина 113","26300","sekretarijat@hms.edu.rs","(013)830292","http://www.hms.edu.rs","8114811","102084574","1977-09-05","Средње стручне школе","Државно","28","0","0","725","518","3","4","0","101","69.411900","118","87.491900"
"37.","1360","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Школски центар Никола Тесла","Стеријина 40-44","26300","trsla2006@mts.rs","(013)830668","http://www.teslavs.edu.rs","8114803","102084742","1946-09-01","Средње стручне школе","Државно","23","2","0","651","131","0","4","0","58","45.538000","73","63.538000"
"38.","1361","Зрењанин","Јужнобанатски управни округ","Ковачица","Ковачица","Гимназија Михајло Пупин","Николе Тесле 57","26210","office@gymko.edu.rs","(013)661180","http://www.gymko.edu.rs","8029253","101009769","1968-05-18","Средње стручне школе","Државно","10","0","0","226","125","0","1","0","31","19.081800","39","27.781800"
"39.","1362","Зрењанин","Јужнобанатски управни округ","Ковин","Ковин","Гимназија и економска школа Бранко Радичевић","Цара Лазара 197","26220","gimnazijakovin@yahoo.com","(013)744896","http://www.gimeko.edu.rs","08215731","101405952","1964-03-25","Средње стручне школе","Државно","12","0","0","263","147","4","0","0","31","23.034700","40","33.034700"
"40.","1363","Зрењанин","Јужнобанатски управни округ","Ковин","Ковин","Средња стручна школа Васа Пелагић","Цара Лазара 261","26220","pskovin@open.telekom.rs","(013)742200","https://www.vasapelagickovin.edu.rs","08215740","101408574","1961-07-01","Средње стручне школе","Државно","13","4","0","264","112","0","21","0","40","32.803400","54","49.803400"
"41.","1364","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Гимназија Урош Предић","Игњата Барајевца 5","26000","direktor@gimnazijaurospredic.edu.rs","301120","http://www.gimnazijaurospredic.edu.rs","8006431","101048794","1853-02-09","Гимназије","Државно","32","0","0","943","588","0","0","0","66","58.418800","79","71.418800"
"42.","1365","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Економско-трговинска школа Паја Маргановић","Ослобођења 25","26100","ekoskopa@gmail.com","(013)314349","http://www.ekosko.edu.rs","8028567","101864728","1959-03-17","Средње стручне школе","Државно","27","3","0","761","507","6","5","0","60","52.030000","76","69.530000"
"43.","1366","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Медицинска школа Стевица Јовановић","Пастерова 2","26100","direktormedicinskapa@gmail.com","(013)2511772","http://www.medicinskapancevo.com","8028800","101048044","1959-03-17","Средње стручне школе","Државно","19","0","0","577","445","0","1","0","71","51.605000","85","66.605000"
"44.","1367","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Пољопривредна школа Јосиф Панчић","Новосељански пут 31","26000","direktorpoljsk@mts.rs","(013)2190023","http://www.jpancic.edu.rs","8054088","100592127","1966-06-06","Средње стручне школе","Државно","16","2","0","338","150","1","15","0","47","36.482200","63","53.482200"
"45.","1368","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Машинска школа Панчево","Браће Јовановића 103","26100","office@masinska.edu.rs","(013)316396","http://www.masinska.edu.rs","8158789","101865608","1966-12-13","Средње стручне школе","Државно","33","2","0","891","81","1","8","0","83","81.106000","101","103.106000"
"46.","1369","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Електротехничка школа Никола Тесла","Максима Горког 7","26100","direktor@etsntesla.edu.rs","(013)2316806","http://www.etsntesla.edu.rs","8006415","100592740","1983-10-31","Средње стручне школе","Државно","25","0","0","691","71","3","1","0","75","63.510000","88","80.010000"
"47.","1370","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Техничка школа 23. мај","Браће Јовановића 89","26000","office@skola23maj.edu.rs","(013)318977","http://www.skola23maj.edu.rs","8028575","101866955","1961-05-23","Средње стручне школе","Државно","32","6","0","870","546","14","8","0","86","75.936800","104","96.386800"
"48.","1372","Сомбор","Севернобачки управни округ","Бачка Топола","Бачка Топола","Гимназија и економска школа Доситеј Обрадовић","Трг др Зорана Ђинђића 12","24300","gimnazijabt@mts.rs","(024)711934","http://dositejbt.edu.rs","8207895","101445257","1965-09-01","Средње стручне школе","Државно","13","0","0","292","190","0","0","0","37","23.327000","51","37.327000"
"49.","1373","Сомбор","Западнобачки управни округ","Апатин","Апатин","Техничка школа са домом ученика","Пригревачка 72","25260","so.teh-skola-ap@neobee.net","772216","http://www.tehnicka-apatin.edu.rs","8063591","101127131","1949-05-30","Средње стручне школе","Државно","10","2","0","153","32","0","0","0","34","20.315500","64","52.315500"
"50.","1374","Сомбор","Западнобачки управни округ","Апатин","Апатин","Средња грађевинска и дрвопрерађивачка стручна школа","Блок 112 44","25260","info@gradedu.net","(025)773211","http://gradedu.net","8062986","100963057","2002-02-15","Средње стручне школе","Државно","6","0","0","94","45","0","0","0","22","12.022300","28","18.022300"
"51.","1375","Сомбор","Западнобачки управни округ","Кула","Руски Крстур","Основна школа и гимназија Пјетро Кузмјак са домом ученика","Русинска 63","25233","petroso@eunet.rs","25705030","http://www.petrokuzmjak.edu.rs","8005168","100263189","1977-11-22","Гимназије","Државно","27","1","1","492","290","16","19","0","56","45.456700","87","74.506700"
"52.","1376","Сомбор","Западнобачки управни округ","Кула","Кула","Економско-трговинска школа","Маршала Тита 113","25230","direktor.ets@gmail.com","(025)729150","http://www.etskula.com","8005214","100262926","1960-09-01","Средње стручне школе","Државно","20","3","0","472","308","1","9","0","60","44.805900","75","59.191400"
"53.","1377","Сомбор","Западнобачки управни округ","Кула","Кула","Средња техничка школа Михајло Пупин","Лазе Костића 14","25230","ssmihpupkul1@ptt.rs","(025)720103","http://www.stsmihajlopupin.edu.rs","8005249","100590686","1960-03-09","Средње стручне школе","Државно","19","3","0","450","14","3","0","0","47","39.868100","64","58.328100"
"54.","1378","Сомбор","Западнобачки управни округ","Кула","Црвенка","Средња стручна школа","Маршала Тита 107","25220","srednjaskolacrvenka@gmail.com","(025)731123","http://www.ssscrvenka.com","8005206","100590768","1946-09-01","Средње стручне школе","Државно","8","2","0","160","82","0","6","0","37","20.010000","50","33.510000"
"55.","1379","Сомбор","Западнобачки управни округ","Оџаци","Оџаци","Гимназија и економска школа Јован Јовановић Змај","Сомборска 18","25250","gimekjjzmaj@mts.rs","(025)5742434","http://www.gesjjz.edu.rs","8199957","101564877","2006-07-12","Средње стручне школе","Државно","13","0","0","271","179","0","3","0","35","22.915500","49","35.507000"
"56.","1380","Сомбор","Западнобачки управни округ","Оџаци","Оџаци","Техничка школа","Школска 20","25250","tsodzacidirektor@mts.rs","(025)5746118","https://tehnickaskolaodzaci.edu.rs","8007586","101567141","1955-09-13","Средње стручне школе","Државно","14","5","0","286","77","3","9","0","47","31.664700","60","46.198000"
"57.","1381","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Гимназија Вељко Петровић","Доситеја Обрадовића 2","25100","gimso@mts.rs","(025)420327","http://www.gimnazijaso.edu.rs","8162735","101837740","1994-01-25","Гимназије","Државно","25","0","0","588","365","1","0","6","65","46.453700","80","62.953700"
"58.","1382","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња економска школа","Апатински пут 90","25100","sekretar@ekonomskaso.edu.rs","(025)421217","https://www.ekonomskaso.edu.rs","8114498","100122722","1993-03-24","Средње стручне школе","Државно","24","3","0","595","382","6","10","0","74","53.945000","91","72.945000"
"59.","1383","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња медицинска школа Др Ружица Рип","Подгоричка 9","25000","direktor@smsso.edu.rs","(025)430540","http://www.smsso.edu.rs","8013128","100607102","1958-10-22","Средње стручне школе","Државно","20","0","0","558","453","2","0","0","71","44.631700","84","59.131700"
"60.","1384","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња пољопривредно-прехрамбена школа","Хаџића Светића 18","25100","sspolskosom1@ptt.rs","(025)482586","http://www.sppssombor.edu.rs","8062781","100614038","1946-07-31","Средње стручне школе","Државно","15","3","0","371","173","2","4","0","52","39.973200","73","64.383200"
"61.","1385","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња школа Свети Сава","Подгоричка 7","25100","skola@ss-svetisava.edu.rs","(025)415699","http://ss-svetisava.edu.rs","8204918","100614870","1990-09-01","Средње стручне школе","Државно","18","3","0","441","331","0","7","0","57","43.270400","71","58.170400"
"62.","1386","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња техничка школа","Трг Цара Лазара 4","25100","so.skolasts@neobee.net","(025)421067","http://www.tehnickaso.edu.rs","8027277","100016489","1992-11-05","Средње стручне школе","Државно","34","4","0","848","111","1","0","0","98","76.202000","122","102.202000"
"63.","1387","Нови Сад","Јужнобачки управни округ","Бач","Бач","Пољопривредна школа","Школска 1","21420","direktor@poljoskolabac.edu.rs","(021)771063","http://www.poljoskolabac.edu.rs","8610711","101451000","1995-05-05","Средње стручне школе","Државно","7","2","0","138","52","0","1","0","27","17.479100","36","25.979100"
"64.","1388","Нови Сад","Јужнобачки управни округ","Бачка Паланка","Бачка Паланка","Гимназија 20. октобар","Трг братства јединства 23","21400","racunovodstvo.gimnazijabp@gmail.com","(021)751235","http://www.gimnazijabp.edu.rs","8062358","100496573","2002-02-02","Гимназије","Државно","16","0","0","395","256","0","0","0","47","28.666600","57","40.555500"
"65.","1389","Нови Сад","Јужнобачки управни округ","Бачка Паланка","Бачка Паланка","Средња стручна школа Радивој Увалић","Трг братства јединства 23","21400","ekonomskabp@gmail.com","(021)6040428","http://ekonomskabp.edu.rs","08062331","100496508","1956-09-01","Средње стручне школе","Државно","22","6","0","610","401","0","5","0","62","44.841000","72","58.841000"
"66.","1390","Нови Сад","Јужнобачки управни округ","Бачка Паланка","Бачка Паланка","Техничка школа 9. Мај","Kраља Петра I 2","21400","skola@9maj.rs","(021)6041472","http://www.9maj.rs","8062366","100752782","1993-01-13","Средње стручне школе","Државно","23","3","0","532","45","0","0","2","74","53.514700","90","72.106700"
"67.","1391","Нови Сад","Јужнобачки управни округ","Бачки Петровац","Бачки Петровац","Гимназија Јан Колар са домом ученика","14. војвођанске ударне словачке бригаде 12","21470","gjkbp19@gmail.com","(021)780167","http://jankollar.org","8054134","101269891","1919-10-01","Гимназије","Државно","14","2","0","284","163","2","0","0","35","26.144200","64","55.144200"
"68.","1392","Нови Сад","Јужнобачки управни округ","Бечеј","Бечеј","Гимназија","Зелена 13.","21220","gimbecej@gmail.com","(021)6913165","http://gimnazijabecej.edu.rs","8204381","100740086","1990-05-11","Гимназије","Државно","14","0","0","305","189","0","0","0","42","24.597600","55","36.597600"
"69.","1393","Нови Сад","Јужнобачки управни округ","Бечеј","Бечеј","Економско-трговинска школа","Браће Тан 1","21220","info@ets-becej.edu.rs","(021)6916581","http://www.ets-becej.edu.rs","8114099","100737822","1948-08-17","Средње стручне школе","Државно","26","5","0","601","421","0","4","0","72","54.871100","85","71.011100"
"70.","1394","Нови Сад","Јужнобачки управни округ","Бечеј","Бечеј","Техничка школа","Уроша Предића 1","21220","tsbecej@gmail.com","(021)6915094","http://tsbecej.edu.rs","8069760","100434831","2016-05-17","Средње стручне школе","Државно","22","4","0","527","92","1","2","0","73","51.111700","89","66.614200"
"71.","1395","Нови Сад","Јужнобачки управни округ","Врбас","Врбас","Гимназија Жарко Зрењанин","Палих бораца 9","21460","gimvrbas@mts.rs","(021)704653","http://gimnazijavrbas.edu.rs","8073112","100640296","1819-04-08","Гимназије","Државно","23","0","0","602","352","1","0","0","65","42.805400","77","56.305400"
"72.","1396","Нови Сад","Јужнобачки управни округ","Врбас","Врбас","Средња стручна школа 4. јули","Светозара Марковића 53","21460","sss4juli@gmail.com","(021)790555","http://www.sss4juli.vrbas.edu.rs/","8118841","101419621","1945-07-04","Средње стручне школе","Државно","31","7","4","716","259","2","38","0","83","70.949500","105","96.619900"
"73.","1397","Нови Сад","Јужнобачки управни округ","Жабаљ","Жабаљ","Средња школа 22. октобар","Николе Тесле 78","21230","hs22oct@gmail.com","(021)2102605","http://www.22oktobar.rs","8112983","100646993","1977-05-20","Гимназије","Државно","24","4","0","646","304","0","0","0","67","52.439600","82","70.439600"
"74.","1398","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Јован Јовановић Змај","Златне греде 4","21000","direktor@jjzmaj.edu.rs","(021)2156166","http://www.jjzmaj.edu.rs","8066892","100236049","1959-09-01","Гимназије","Државно","48","0","0","1292","619","0","0","0","123","85.984400","141","105.634400"
"75.","1399","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Светозар Марковић","Његошева 22","21000","gim.markovic@gmail.com","0214721924","http://www.s-markovic.edu.rs","8066914","100238209","1963-07-23","Гимназије","Државно","37","0","0","1116","708","2","1","0","88","66.190000","106","85.690000"
"76.","1400","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Исидора Секулић","Владике Платона 2","21100","gimnazis@mts.rs","(021)457132","http://www.gimnazis.edu.rs","8200882","102058302","1990-09-01","Гимназије","Државно","29","0","0","954","590","0","0","0","52","46.740000","67","62.240000"
"77.","1401","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Лаза Костић","Лазе Лазаревића 1","21000","lakogim@gmail.com","(021)6466766","http://www.gimnazijalazakostic.edu.rs","8685240","100237409","1999-05-15","Гимназије","Државно","24","0","0","743","416","0","0","0","54","46.233000","71","64.633000"
"78.","1402","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Средња школа Светозар Милетић","Народних хероја 7","21100","najboljaskola@mts.rs","21423655","http://ekosmile.edu.rs","8114641","100236805","1983-05-16","Средње стручне школе","Државно","62","0","0","1887","1128","7","0","0","133","122.540000","164","155.860000"
"79.","1403","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Медицинска школа 7. aприл","Војводе Книћанина 1","21100","7april@mts.rs","216541298","http://www.7april.edu.rs","8066868","101638314","1946-09-16","Средње стручне школе","Државно","52","0","0","1711","1339","6","1","0","186","141.901100","213","173.401100"
"80.","1404","Нови Сад","Јужнобачки управни округ","Нови Сад","Футог","Пољопривредна школа са домом ученика - Футог","Царице Милице 2","21410","poljosko@eunet.rs","(021)895096","http://www.poljosko.edu.rs","8042080","100459701","1949-05-12","Средње стручне школе","Државно","37","2","0","747","292","18","5","0","109","81.344000","184","158.924000"
"81.","1405","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Средња машинска школа","Булевар краља Петра првог 38","21100","mashinska@neobee.net","(021)444606","http://www.masinskans.edu.rs","8117861","100236338","1990-11-27","Средње стручне школе","Државно","24","2","0","641","18","0","0","0","71","56.340000","103","88.020000"
"82.","1406","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Електротехничка школа Михајло Пупин","Футошка 17","21000","uprava.etspupin@gmail.com","(021)421566","http://www.etspupin.edu.rs","8043361","101708719","1963-05-16","Средње стручне школе","Државно","68","4","0","1887","150","1","0","0","181","152.693600","218","190.193600"
"83.","1407","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Техничка школа Павле Савић","Шајкашка 34","21100","tspavles@nspoint.net","(021)443746","http://tspavlesavic.edu.rs","8066973","100458932","1961-09-01","Средње стручне школе","Државно","39","6","0","845","582","0","4","0","104","88.301400","121","110.701400"
