"#","ИД установе","Универзитет","Назив установе","Тип установе","ИД програма","Назив програма","Звање","Поље","Ниво","Школарина за домаће студенте","Школарина за стране студенте","Број ЕСПБ бодова","Број решења акредитације","Датум решења акредитације","Акредитациона квота","Број буџетских студената - прва година","Број буџетских студената - друга година","Број буџетских студената - трећа година","Број буџетских студената - четврта година","Број буџетских студената - пета година","Број буџетских студената - шеста година","Број самофинансирајући студената - прва година","Број самофинансирајући студената - друга година","Број самофинансирајући студената - трећа година","Број самофинансирајући студената - четврта година","Број самофинансирајући студената - пета година","Број самофинансирајући студената - шеста година","Број страних студената - прва година","Број страних студената - друга година","Број страних студената - трећа година","Број страних студената - четврта година","Број страних студената - пета година","Број страних студената - шеста година","Број свршених студената током претходне школске године","Број пријављених кандидата на упису у наредну школску годину - I рок","Број пријављених кандидата на упису у наредну школску годину - II рок"
"11.","47","Универзитет у Нишу","Електронски факултет","Државни факултет","13","Телекомуникације","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","89000","2000","60","612-00-00673/2013-04","2013-05-24","64","7","","","","","","5","","","","","","","","","","","","13","7","1"
"12.","47","Универзитет у Нишу","Електронски факултет","Државни факултет","14","Управљање системима","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","89000","2000","60","612-00-00673/2013-04","2013-05-10","64","34","","","","","","32","","","","","","","","","","","","18","29","5"
"13.","47","Универзитет у Нишу","Електронски факултет","Државни факултет","15","Рачунарство и информатика","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","89000","2000","60","612-00-00673/2013-04","2013-05-17","96","79","","","","","","94","","","","","","","","","","","","26","44","36"
"14.","82","Универзитет у Приштини","Правни факултет, Косовска Митровица","Државни факултет","17","МАС","Мастер правник","Друштвено-хуманистичке науке","Мастер академске","120000","1200","60","612-00-02690/2013-04","2014-09-26","50","25","","","","","","18","","","","","","","","","","","","5","29","1"
"15.","82","Универзитет у Приштини","Правни факултет, Косовска Митровица","Државни факултет","18","ДАС","Доктор наука правне науке","Друштвено-хуманистичке науке","Докторске академске","120000","1500","180","612-00-02690/2013-04","2014-10-31","2","2","0","0","","","","0","0","4","","","","","","","","","","0","2","0"
"16.","15","Универзитет у Београду","Машински факултет","Државни факултет","20","Машинско инжењерство","Инжењер машинства","Техничко-технолошке науке","Основне академске","72000","1800","180","612-00-01119/2017-06","2017-05-26","720","488","326","460","","","","274","311","507","","","","11","3","5","","","","378","1113","25"
"17.","15","Универзитет у Београду","Машински факултет","Државни факултет","21","Машинско инжењерство","Мастер инжењер машинства","Техничко-технолошке науке","Мастер академске","66000","2400","120","612-00-01119/2017-06","2017-06-30","416","386","371","","","","","79","395","","","","","21","6","","","","","228","396","28"
"18.","15","Универзитет у Београду","Машински факултет","Државни факултет","22","Машинско инжењерство","Доктор наука машинско инжењерство","Техничко-технолошке науке","Докторске академске","320000","2700","180","612-00-01119/2017-06","2017-06-30","50","10","10","13","","","","65","40","87","","","","2","5","19","","","","25","38","7"
"19.","21","Универзитет у Београду","Хемијски факултет","Државни факултет","23","Хемичар (2008)","Дипломирани хемичар","Природно-математичке науке","Основне академске","90000","2500","240","","","","0","0","26","38","","","0","10","48","48","","","0","0","0","0","","","46","",""
"20.","21","Универзитет у Београду","Хемијски факултет","Државни факултет","24","Биохемичар (2008)","Биохемичар","Природно-математичке науке","Основне академске","90000","2500","240","","","","0","0","15","19","","","0","7","10","30","","","0","0","0","0","","","25","",""
"21.","21","Универзитет у Београду","Хемијски факултет","Државни факултет","25","Мастер академске студије биохемије (2008)","Мастер биохемичар","Природно-математичке науке","Мастер академске","120000","3000","60","","","","0","","","","","","0","","","","","","0","","","","","","4","",""
"22.","21","Универзитет у Београду","Хемијски факултет","Државни факултет","26","Докторске академске студије биохемије (2008)","Доктор наука биохемијске науке","Природно-математичке науке","Докторске академске","150000","9000","180","612-00-00495/2013-04","2013-10-25","0","0","0","0","","","","0","0","6","","","","0","0","1","","","","8","0","0"
"23.","21","Универзитет у Београду","Хемијски факултет","Државни факултет","27","Биохемија (2014)","Дипломирани биохемичар","Природно-математичке науке","Основне академске","102000","2500","240","612-00-00495/2013-04","2013-11-08","50","45","27","28","42","","","25","25","17","28","","","1","1","0","0","","","28","63","0"
"24.","21","Универзитет у Београду","Хемијски факултет","Државни факултет","28","Мастер академске студије биохемије (2014)","Мастер биохемичар","Природно-математичке науке","Мастер академске","150000","3000","60","612-00-00495/2013-04","2013-11-08","25","13","","","","","","1","","","","","","0","","","","","","9","13","2"
"25.","21","Универзитет у Београду","Хемијски факултет","Државни факултет","29","Докторске академске студије биохемије (2013)","Доктор наука биохемијске науке","Природно-математичке науке","Докторске академске","204000","9000","180","612-00-00495/2013-04","2013-10-25","15","10","4","8","","","","0","0","27","","","","0","0","2","","","","1","10","2"
"26.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","792","Шумарство","Мастер инжењер шумарства","Техничко-технолошке науке","Мастер академске","120000","2000","60","","","","36","","","","","","53","","","","","","0","","","","","","35","",""
"27.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","791","Технологије, менаџмент и пројектовање намештаја и производа од дрвета","Мастер инжењер шумарства","Техничко-технолошке науке","Мастер академске","120000","2000","60","","","","23","","","","","","7","","","","","","1","","","","","","7","",""
"28.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","789","Еколошки инжењеринг у заштити земљишних и водних ресурса","Мастер инжењер шумарства","Техничко-технолошке науке","Мастер академске","120000","2000","60","","","","19","","","","","","14","","","","","","0","","","","","","16","",""
"29.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","790","Пејзажна архитектура","Мастер инжењер шумарства","Техничко-технолошке науке","Мастер академске","120000","2000","60","","","","27","","","","","","34","","","","","","0","","","","","","21","",""
"30.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","46","Шумарство","Доктор наука биотехничке науке","Техничко-технолошке науке","Докторске академске","180000","3000","180","","","","4","3","3","","","","17","12","42","","","","0","0","1","","","","12","",""
"31.","60","Универзитет у Новом Саду","Економски факултет, Суботица","Државни факултет","1884","Европска и међународна економија и бизнис (240 ЕСПБ)","Дипломирани економиста","Друштвено-хуманистичке науке","Основне академске","96000","1900","240","612-00-01308/2012-04","25.10.2013","140","53","23","45","72","","","22","14","12","16","","","","","","","","","23","51","0"
"32.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","48","Шумарство","Дипломирани инжењер шумарства","Техничко-технолошке науке","Основне академске","72000","1500","240","612-00-660/2/2008-04","11.12.2008.","120","103","61","60","80","","","32","75","56","207","","","0","0","0","0","","","44","96","9"
"33.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","49","Технологије, менаџмент и пројектовање намештаја и производа од дрвета","Дипломирани инжењер шумарства","Техничко-технолошке науке","Основне академске","72000","1500","240","612-00-660/14/2008-04","18.12.2008.","100","70","35","35","58","","","26","37","21","141","","","0","0","0","0","","","18","56","14"
"34.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","50","Пејзажна архитектура","Дипломирани инжењер шумарства","Техничко-технолошке науке","Основне академске","72000","1500","240","612-00-660/14/2008-04","18.12.2008.","65","42","40","46","57","","","32","26","19","105","","","0","1","0","0","","","58","71","0"
"35.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","56","Мехатроника","Дипломирани инжењер мехатронике","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне академске","81000","1500","240","612-00-02629/2013-04","2014-04-09","30","18","6","8","10","","","10","6","3","12","","","0","0","0","0","","","11","25","6"
"36.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","55","Електротехничко и рачунарско инжењерство","Дипломирани инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне академске","81000","1500","240","612-00-02629/2013-04","2014-05-23","80","46","20","32","63","","","13","17","18","88","","","0","0","0","1","","","38","50","10"
"37.","73","Универзитет у Новом Саду","Учитељски факултет на мађарском наставном језику, Суботица","Државни факултет","61","Дипломирани учитељ","Дипломирани учитељ","Друштвено-хуманистичке науке","Основне академске","50000","2300","240","612-00-00067/2014-04","2014-06-13","35","20","11","19","32","","","7","2","1","3","","","0","0","0","0","","","22","30","4"
"38.","73","Универзитет у Новом Саду","Учитељски факултет на мађарском наставном језику, Суботица","Државни факултет","62","Дипломирани васпитач","Дипломирани васпитач","Друштвено-хуманистичке науке","Основне академске","50000","2300","240","612-00-00067/2014-04","2014-06-13","20","15","9","9","13","","","1","1","4","0","","","0","0","0","0","","","10","15","0"
"39.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","63","Инжењерски менаџмент","Дипломирани инжењер менаџмента","Техничко-технолошке науке","Основне академске","81000","1500","240","612-00-02629/2013-04","2014-03-21","30","25","16","29","40","","","0","5","1","15","","","0","0","0","0","","","13","25","1"
"40.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","64","Техника и информатика","Мастер професор технике и информатике","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Интегр. академске","81000","1500","300","612-00-02629/2013-04","2014-06-27","30","10","5","4","7","17","","5","6","6","3","21","","0","0","0","0","0","","28","12","1"
"41.","73","Универзитет у Новом Саду","Учитељски факултет на мађарском наставном језику, Суботица","Државни факултет","65","Мастер учитељ","Мастер учитељ","Друштвено-хуманистичке науке","Мастер академске","50000","2300","60","612-00-00067/2014-04","2014-06-13","40","18","","","","","","0","","","","","","0","","","","","","18","12","0"
"42.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","66","Информационе технологије","Дипломирани инжењер информационих технологија","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне академске","81000","1500","240","612-00-02629/2013-04","2014-03-21","130","110","92","65","87","","","30","20","21","47","","","0","0","0","0","","","34","191","0"
"43.","73","Универзитет у Новом Саду","Учитељски факултет на мађарском наставном језику, Суботица","Државни факултет","67","Мастер васпитач","Мастер васпитач","Друштвено-хуманистичке науке","Мастер академске","50000","2300","60","612-00-00067/2014-04","2014-06-13","15","13","","","","","","0","","","","","","0","","","","","","6","9","0"
"44.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","108","Предузетнички менаџмент","Дипломирани менаџер","Друштвено-хуманистичке науке","Основне академске","81000","1500","240","612-00-02629/2013-04","2014-04-04","45","15","8","17","31","","","6","4","1","22","","","0","0","0","0","","","23","21","2"
"45.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","70","Заштита животне средине ОАС4","Дипломирани инжењер заштите животне средине","Техничко-технолошке науке","Основне академске","72000","1500","240","621-00-0072/2014-04","2014-05-09","180","57","33","34","85","","","8","9","25","173","","","0","0","0","0","","","52","37","16"
"46.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","71","Заштита на раду ОАС4","Дипломирани инжењер заштите животне средине","Техничко-технолошке науке","Основне академске","72000","900","240","621-00-0072/2014-04","2014-05-09","180","101","47","50","88","","","6","17","24","172","","","0","0","0","0","","","54","109","8"
"47.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","72","Инжењерство заштите на раду МАС1","Мастер инжењер заштите на раду","Техничко-технолошке науке","Мастер академске","72000","900","60","612-00-00072/2014-04","2014-05-09","32","11","","","","","","6","","","","","","1","","","","","","17","7","7"
"48.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","73","Инжењерство заштите животне средине МАС1","Мастер инжењер заштите животне средине","Техничко-технолошке науке","Мастер академске","72000","900","60","612-00-00072/2014-04","2014-05-09","32","8","","","","","","7","","","","","","0","","","","","","8","4","4"
"49.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","75","Инжењерство заштите од пожара МАС1","Мастер инжењер заштите на раду","Техничко-технолошке науке","Мастер академске","72000","900","60","612-00-00072/2014-04","2014-05-09","32","14","","","","","","3","","","","","","2","","","","","","14","19","2"
"50.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","77","Управљање ванредним ситуацијама МАС1","Мастер инжењер заштите животне средине","Техничко-технолошке науке","Мастер академске","72000","900","60","612-00-00072/2014-04","2014-05-09","32","14","","","","","","27","","","","","","0","","","","","","18","20","4"
"51.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","2210","Управљање комуналним системом МАС1","Мастер инжењер заштите животне средине","Техничко-технолошке науке","Мастер академске","72000","900","60","612-00-00072/2014-04","2014-05-09","32","13","","","","","","10","","","","","","0","","","","","","14","20","0"
"52.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","79","Инжењерство заштите на раду ДАС","Доктор наука инжењерство заштите на раду","Техничко-технолошке науке","Докторске академске","90000","1500","180","612-00-01148/2017-06","2017-09-15","10","0","0","0","","","","2","0","10","","","","2","0","0","","","","0","4","2"
"53.","51","Универзитет у Нишу","Факултет заштите на раду","Државни факултет","80","Инжењерство заштите животне средине ДАС","Доктор наука - инжењерство заштите животне средине","Техничко-технолошке науке","Докторске академске","90000","1500","180","612-00-01148/2017-06","2017-09-15","10","0","0","0","","","","3","2","16","","","","0","0","1","","","","0","0","3"
"54.","63","Универзитет у Новом Саду","Филозофски факултет","Државни факултет","317","Енглески језик и књижевност","Дипломирани филолог - англиста","Друштвено-хуманистичке науке","Основне академске","96000","2000","240","612-00-00887/2013-04","2014-05-23","70","42","56","46","64","","","34","9","10","49","","","","","","","","","60","167","0"
"55.","71","Универзитет у Новом Саду","Технолошки факултет","Државни факултет","97","Биотехнологија","Дипломирани инжењер технологије","Техничко-технолошке науке","Основне академске","65000","3000","240","612-001141/2012-04","2013-03-08","66","53","29","17","39","","","13","22","24","76","","","0","0","0","0","","","11","67","0"
"56.","71","Универзитет у Новом Саду","Технолошки факултет","Државни факултет","98","Биотехнологија","Мастер инжењер технологије","Техничко-технолошке науке","Мастер академске","90000","4000","60","612-00-01141/2012-04","2013-03-08","36","10","","","","","","4","","","","","","0","","","","","","16","9","2"
"57.","71","Универзитет у Новом Саду","Технолошки факултет","Државни факултет","99","Биотехнологија","Доктор наука технолошко инжењерство","Техничко-технолошке науке","Докторске академске","90000","5000","180","612-00-01141/2012-04","2013-03-08","15","6","4","6","","","","1","1","13","","","","0","0","1","","","","4","5","2"
"58.","45","Универзитет у Крагујевцу","Факултет за хотелијерство и туризам, Врњачка Бања","Државни факултет","100","хотелијерство и туризам","Дипломирани менаџер","Друштвено-хуманистичке науке","Основне академске","80000","1300","240","612-00-00656/2012-04","14.06.2013","100","60","67","70","69","","","53","39","25","10","","","1","","2","","","","77","131","0"
"59.","27","Универзитет у Београду","Шумарски факултет","Државни факултет","101","Teхнологија намештаја и производа од дрвета","Струковни инжењер шумарства","Техничко-технолошке науке","Основне струковне","95000","1500","180","612-00-02007/2013-04","2013-12-13","50","0","0","0","","","","0","0","6","","","","0","0","0","","","","3","0","0"
"60.","42","Универзитет у Крагујевцу","Учитељски факултет, Ужице","Државни факултет","446","Учитељ","Дипломирани учитељ","Друштвено-хуманистичке науке","Основне академске","80000","0","240","612-00-00020/2014-04","2014-07-04","105","45","57","93","92","95","","9","12","24","33","","","0","0","0","0","","","84","26","13"
"61.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","104","Машинско инжењерство ОАС","Инжењер машинства","Техничко-технолошке науке","Основне академске","50000","1500","180","612-00-00595/2013-04","2013-05-24","240","187","76","123","","","","52","64","206","","","","","","","","","","99","182","21"
"62.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","105","Машинско инжењерство МАС","Мастер инжењер машинства","Техничко-технолошке науке","Мастер академске","60000","1600","120","612-00-00595/2012-04","2013-05-24","96","84","105","","","","","16","54","","","","","","","","","","","70","29","28"
"63.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","106","Електротехничко и рачунарско инжењерство","Мастер инжењер електротехнике и рачунарства","Техничко-технолошке науке","Мастер академске","81000","1500","60","612-00-02629/2013-04","2014-05-23","32","37","","","","","","22","","","","","","0","","","","","","19","27","2"
"64.","56","Универзитет у Нишу","Технолошки факултет","Државни факултет","367","Технолошко инжењерство","Доктор наука технолошко инжењерство","Техничко-технолошке науке","Докторске академске","120000","3000","180","612-00-00056/2014-04","2014-03-21","15","5","6","13","","","","7","4","19","","","","","","","","","","3","13","0"
"65.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","107","Машинско инжењерство ДАС","Доктор наука машинско инжењерство","Техничко-технолошке науке","Докторске академске","100000","2500","180","612-00-00595/2013-04","2013-05-24","50","12","7","11","","","","9","6","40","","","","","","","","","","9","17","3"
"66.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","109","Техника и информатика - мастер за Е-учење","Мастер професор технике и информатике","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","75000","1500","60","","","","0","","","","","","0","","","","","","0","","","","","","16","",""
"67.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","110","Предметна настава електротехничког и рачунарског инжењерства","Мастер професор електротехнике и рачунарства","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","75000","1500","60","","","","0","","","","","","4","","","","","","0","","","","","","0","",""
"68.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","111","Предметна настава машинског инжењерства","Мастер професор машинства","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","75000","1500","60","","","","0","","","","","","0","","","","","","0","","","","","","1","",""
"69.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","113","Мехатроника","Мастер инжењер мехатронике","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","81000","1500","60","612-00-02629/2013-04","2014-04-09","8","8","","","","","","5","","","","","","0","","","","","","1","7","1"
"70.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","114","Војноиндустријско инжењерство ОАС","Дипломирани инжењер индустријског инжењерства","Техничко-технолошке науке","Основне академске","50000","1500","240","612-00-00347/2015-04","2015-03-20","40","33","23","15","42","","","6","11","6","28","","","","","","","","","18","36","4"
"71.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","115","Информационе технологије","Мастер инжењер информационих технологија","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","81000","1500","60","612-00-02629/2013-04","2014-03-21","32","29","","","","","","9","","","","","","0","","","","","","4","29","1"
"72.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","116","Инжењерски менаџмент","Мастер инжењер менаџмента","Техничко-технолошке науке","Мастер академске","81000","1500","60","612-00-02629/2013-04","2014-03-21","32","13","","","","","","9","","","","","","0","","","","","","20","16","2"
"73.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","117","Инжењерски менаџмент (стари-двогодишњи)","Мастер инжењер менаџмента","Техничко-технолошке науке","Мастер академске","75000","1500","120","","","","","1","","","","","","0","","","","","","0","","","","","29","",""
"74.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","118","Војноиндустријско инжењерство МАС","Мастер инжењер индустријског инжењерства","Техничко-технолошке науке","Мастер академске","80000","1800","60","612-00-00347/2015-04","2019-03-20","16","20","","","","","","6","","","","","","0","","","","","","12","16","0"
"75.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","120","Мехатроника","Доктор наука – мехатроника","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Докторске академске","140000","2500","180","612-00-02629/2013-04","2014-04-09","5","1","0","0","","","","0","1","0","","","","0","0","0","","","","0","0","0"
"76.","40","Универзитет у Крагујевцу","Факултет техничких наука, Чачак","Државни факултет","119","Електротехничко и рачунарско инжењерство","Доктор наука електротехника и рачунарство","Техничко-технолошке науке","Докторске академске","140000","2500","180","612-00-02629/2013-04","2014-05-23","12","1","0","1","3","","","0","2","12","","","","0","0","0","","","","0","6","0"
"77.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","121","Инжењерски менаџмент","Мастер инжењер менаџмента","Техничко-технолошке науке","Мастер академске","80000","1800","60","612-00-00347/2015-04","2015-03-20","16","3","","","","","","30","","","","","","","","","","","","6","15","1"
"78.","152","Универзитет уметности у Београду","Ректорат","Државни факултет","122","мастер студијски програм Културна политика и менаџмент","Мастер менаџер – култура и медији","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","190000","2000","60","612-00-242/2009-04","2011-04-21","22","2","0","","","","","9","3","","","","","6","1","","","","","18","20","5"
"79.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","123","Индустријско инжењерство – пословни информациони системи","Мастер инжењер индустријског инжењерства","Техничко-технолошке науке","Мастер академске","80000","1800","60","612-00-00347/2015-04","2015-03-20","16","3","","","","","","24","","","","","","","","","","","","7","8","4"
"80.","152","Универзитет уметности у Београду","Ректорат","Државни факултет","125","мастер студијски програм Теорија уметности и медија","Мастер теоретичар – уметност и медији","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","140000","1500","60","612-00-242/2009-04","2011-06-20","10","","","","","","","","2","","","","","","","","","","","2","0","0"
"81.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","127","Аутомобилско инжењерство ОАС","Инжењер машинства","Техничко-технолошке науке","Основне академске","50000","1500","180","612-00-00595/2013-04","2013-05-24","40","10","1","10","","","","2","1","8","","","","","","","","","","7","9","1"
"82.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","130","Аутомобилско инжењерство МАС","Мастер инжењер индустријског инжењерства","Техничко-технолошке науке","Мастер академске","60000","1600","120","612-00-00595/2013-04","2013-05-24","16","1","8","","","","","0","3","","","","","","","","","","","3","0","1"
"83.","152","Универзитет уметности у Београду","Ректорат","Државни факултет","133","докторски научни програм Теорија уметности и медија","Доктор наука – уметност и медији","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Докторске академске","180000","1700","180","612-00-242/2009-04","2011-05-20","10","0","0","0","0","0","0","4","3","3","6","10","8","0","0","0","0","0","0","0","2","2"
"84.","37","Универзитет у Крагујевцу","Факултет инжењерских наука","Државни факултет","136","Урбано инжењерство","Дипломирани инжењер урбанизма","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне академске","50000","1500","240","612-00-00595/2013-04","2013-05-24","40","16","8","12","32","","","2","11","5","14","","","","","","","","","6","17","2"
"85.","152","Универзитет уметности у Београду","Ректорат","Државни факултет","141","докторски уметнички програм Вишемедијска уметност","Доктор уметности – вишемедијске уметности","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Докторске академске","200000","2500","180","612-00-242/2009-04","2013-06-28","10","0","0","0","0","0","0","0","5","7","9","2","8","0","0","2","0","0","0","5","0","0"
"86.","152","Универзитет уметности у Београду","Ректорат","Државни факултет","144","докторски уметнички програм Дигитална уметност","Доктор уметности – дигитални медији","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Докторске академске","200000","2500","180","612-00242/2009-04","2013-06-28","10","0","0","0","0","0","0","5","0","2","7","5","8","0","0","1","1","0","0","4","1","2"
